,City,2018rank,State,2018estimate,2010Census,Change,2016 land area (sq miles),2016 land area (sq km),2016 population density (sq miles),2016 population density (sq km),Location,Link
162,Clarksville,163,Tennessee,156794,132929,+17.95%,983,546,1529,590,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ / 36.5664; -87.3452﻿ (Clarksville),"https://en.wikipedia.org/wiki/Clarksville,_Tennessee"
163,Palmdale,164,California,156667,152750,+2.56%,1060,745,1484,573,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ / 34.5910; -118.1054﻿ (Palmdale),"https://en.wikipedia.org/wiki/Palmdale,_California"
164,Salinas,165,California,156259,150441,+3.87%,236,611,6662,57,36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ / 36.6902; -121.6337﻿ (Salinas),"https://en.wikipedia.org/wiki/Salinas,_California"
165,Springfield,166,Massachusetts,155032,153060,+1.29%,319,86,4830,1860,42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ / 42.1155; -72.5400﻿ (Springfield),"https://en.wikipedia.org/wiki/Springfield,_Massachusetts"
166,Hollywood,167,Florida,154823,140768,+9.98%,273,707,5568,150,26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ / 26.0310; -80.1646﻿ (Hollywood),"https://en.wikipedia.org/wiki/Hollywood,_Florida"
167,Pasadena,168,Texas,153219,149043,+2.80%,435,117,3525,1361,29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ / 29.6586; -95.1506﻿ (Pasadena),"https://en.wikipedia.org/wiki/Pasadena,_Texas"
168,Sunnyvale,169,California,153185,140081,+9.35%,220,570,6944,681,37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ / 37.3858; -122.0263﻿ (Sunnyvale),"https://en.wikipedia.org/wiki/Sunnyvale,_California"
169,Macon,170,Georgia,153095,91351,+67.59%,2493,6457,612,36,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ / 32.8088; -83.6942﻿ (Macon),"https://en.wikipedia.org/wiki/Macon,_Georgia"
170,Kansas City,171,Kansas,152958,145786,+4.92%,1248,33,1216,470,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ / 39.1225; -94.7418﻿ (Kansas City),"https://en.wikipedia.org/wiki/Kansas_City,_Kansas"
171,Pomona,172,California,152361,149058,+2.22%,230,596,6630,560,34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ / 34.0585; -117.7611﻿ (Pomona),"https://en.wikipedia.org/wiki/Pomona,_California"
172,Escondido,173,California,152213,143911,+5.77%,371,961,4087,1578,33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ / 33.1331; -117.0740﻿ (Escondido),"https://en.wikipedia.org/wiki/Escondido,_California"
173,Killeen,174,Texas,149103,127921,+16.56%,535,1386,2680,1030,31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ / 31.0777; -97.7320﻿ (Killeen),"https://en.wikipedia.org/wiki/Killeen,_Texas"
174,Naperville,175,Illinois,148304,141853,+4.55%,387,100,3802,1468,41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ / 41.7492; -88.1620﻿ (Naperville),"https://en.wikipedia.org/wiki/Naperville,_Illinois"
175,Joliet,176,Illinois,148099,147433,+0.45%,644,1668,2302,889,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ / 41.5177; -88.1488﻿ (Joliet),"https://en.wikipedia.org/wiki/Joliet,_Illinois"
176,Bellevue,177,Washington,147599,122363,+20.62%,335,868,4221,1630,47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ / 47.5979; -122.1565﻿ (Bellevue),"https://en.wikipedia.org/wiki/Bellevue,_Washington"
177,Rockford,178,Illinois,146526,152871,−4.15%,635,1645,2325,898,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ / 42.2588; -89.0646﻿ (Rockford),"https://en.wikipedia.org/wiki/Rockford,_Illinois"
178,Savannah,179,Georgia,145862,136286,+7.03%,1036,683,1417,547,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ / 32.0025; -81.1536﻿ (Savannah),"https://en.wikipedia.org/wiki/Savannah,_Georgia"
179,Paterson,180,New Jersey,145627,146199,−0.39%,84,18,17500,6800,40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ / 40.9148; -74.1628﻿ (Paterson),"https://en.wikipedia.org/wiki/Paterson,_New_Jersey"
180,Torrance,181,California,145182,145438,−0.18%,205,531,7180,770,33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ / 33.8350; -118.3414﻿ (Torrance),"https://en.wikipedia.org/wiki/Torrance,_California"
181,Bridgeport,182,Connecticut,144900,144229,+0.47%,161,417,9064,3500,41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ / 41.1874; -73.1958﻿ (Bridgeport),"https://en.wikipedia.org/wiki/Bridgeport,_Connecticut"
182,McAllen,183,Texas,143433,129877,+10.44%,584,1513,2435,940,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ / 26.2322; -98.2464﻿ (McAllen),"https://en.wikipedia.org/wiki/McAllen,_Texas"
183,Mesquite,184,Texas,142816,139824,+2.14%,472,1,3045,1176,32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ / 32.7629; -96.5888﻿ (Mesquite),"https://en.wikipedia.org/wiki/Mesquite,_Texas"
